CocState,CoC,Coc\ID,HudNum,year,Organization ID,Organization Name,Project ID,Project Name,Project Type,Bed Type,Geo Code,Inventory Type,Target Population A,Target Population B,address1,city,state,zip,Beds HH w/ Children,Units HH w/ Children,HMIS Beds HH w/ Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Beds HH w/o Children,HMIS Beds HH w/o Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,Beds HH w/ only Children,HMIS Beds HH w/ only Children,CH Beds HH w only Children,Year-Round Beds,Total Seasonal Beds,Seasonal Beds Available in HMIS,Availability Start Date,Availability End Date,Total Beds,Updated On,notes,projectNotes
OR,"Hillsboro, Beaverton/Washington County CoC",1008,OR-506,2018,16476,Boys and Girls Aid,38066,Transitional Living Program (CoC Program),TH,,410108,C,SMF+HC,NA,13643 SW ELECTRIC ST,BEAVERTON,OR,97005,8,4,8,0,8,,3,3,0,3,,0,0,,11,,,,,11,7/3/18 9:31,,HUD McKinney-Vento Program; opened in July 2008 and serves youth ages 18 to 24 years.
OR,"Hillsboro, Beaverton/Washington County CoC",1008,OR-506,2018,1088,Cascade AIDS Project,12637,Scattered site Legacy SPC tenant-based rental assitance,PSH,,419067,C,SMF+HC,HIV,111 NE LINCOLN ST,HILLSBORO,OR,97124,0,0,0,0,0,,13,13,3,0,3,0,0,,13,,,,,13,4/11/18 19:00,,"Rent subsidy administered by Washington County DHS located in Hillsboro, Oregon."
OR,"Hillsboro, Beaverton/Washington County CoC",1008,OR-506,2018,1742,Community Action,16748,Hillsboro Family Shelter,ES,F,410636,C,HC,NA,210 SE 12TH AVE,HILLSBORO,OR,97123,20,5,20,0,0,,0,0,,,,0,0,,20,0,0,,,20,4/10/18 17:28,,
OR,"Hillsboro, Beaverton/Washington County CoC",1008,OR-506,2018,2692,Family Promise/Interfaith Hospitality Network,3888,FamilyPromise of Washington County-Interfaith Host Sites,ES,O,410636,C,HC,NA,183 SE 6TH AVE,HILLSBORO,OR,97123,12,3,12,0,0,,0,0,0,0,,0,0,,12,0,0,,,12,4/10/18 17:28,"Frozen water pipes and damage resulted in families exiting shelter while repairs were made, thus resulting in low occupancy rate.",
OR,"Hillsboro, Beaverton/Washington County CoC",1008,OR-506,2018,3055,Good Neighbor Center,16537,Good Neighbor Center Shelter,ES,F,419067,C,HC,NA,11130 SW GREENBURG RD,TIGARD,OR,97223,36,9,36,0,0,,0,0,0,0,,0,0,,36,0,0,,,36,4/10/18 17:29,,
OR,"Hillsboro, Beaverton/Washington County CoC",1008,OR-506,2018,3055,Good Neighbor Center,16988,Housing Stabilization Program,RRH,,419067,C,HC,NA,14260 SW 112 Avenue,Tigard,OR,97224,32,8,32,0,0,,0,0,0,0,,0,0,,32,,,,,32,4/10/18 21:01,,6 units at The Colonies and 6 units at Bonita Villa with rent subsidy provided by the Housing Authority of Washington County.
OR,"Hillsboro, Beaverton/Washington County CoC",1008,OR-506,2018,14499,Housing Authority of Washington County,31451,The Knoll - Project-based Section 8,PSH,,419067,C,SMF,NA,12291 SW KNOLL DR,TIGARD,OR,97223,0,0,0,0,0,0,12,12,12,0,12,0,0,,12,,,,,12,4/10/18 20:39,,"Implemented in May 2011, 12 units for veterans in 48-unit new construction project - The Knoll."
OR,"Hillsboro, Beaverton/Washington County CoC",1008,OR-506,2018,4212,LifeWorks NW,4171,Fredrick House - Homeless adults experiencing SPMI,TH,,410636,C,SMF,NA,509 SE 2ND AVE,HILLSBORO,OR,97123,0,0,0,0,0,,5,5,0,0,,0,0,,5,,,,,5,4/10/18 17:30,,
OR,"Hillsboro, Beaverton/Washington County CoC",1008,OR-506,2018,4212,LifeWorks NW,38071,Tom Brewer House,PSH,,410108,C,SMF+HC,NA,13286 SW HENRY ST,BEAVERTON,OR,97005,2,1,2,0,0,0,20,20,1,0,4,0,0,0,22,,,,,22,4/11/18 19:04,The Tom Brewer project receive Supportive Housing Program funding for acquisition and rehab activities in January 2004 (20-year restrictive covenant expires in 2024).  No ongoing McKinney-Vento funds contribute to the project operation.,Tom Brewer acquired by LifeWorks NW; 13 units of Section 8 project-based subsidy.
OR,"Hillsboro, Beaverton/Washington County CoC",1008,OR-506,2018,9145,Luke-Dorf Inc.,111280,Clover Court,PSH,,419067,U,SMF,NA,17025 SW BANY RD,ALOHA,OR,97007,,,,,,,6,,0,0,6,,,,6,,,,,6,4/10/18 17:22,New construction with permitting process beginning March 2018.  Anticipated occupancy no later than July 2019.,New construction 6-units opening by July 2019.
OR,"Hillsboro, Beaverton/Washington County CoC",1008,OR-506,2018,9145,Luke-Dorf Inc.,20715,Garrett Lee Smith Safe Haven,SH,,410636,C,SMF,NA,494 SE WASHINGTON ST,HILLSBORO,OR,97123,,,,,,,10,10,0,0,,,,,10,,,,,10,4/10/18 17:23,,Program implemented (opened) in March 2007.
OR,"Hillsboro, Beaverton/Washington County CoC",1008,OR-506,2018,9145,Luke-Dorf Inc.,16749,Hillsboro Graduated Independent Living,PSH,,410636,C,SMF,NA,486 SE WASHINGTON ST,HILLSBORO,OR,97123,0,0,0,0,0,0,7,7,0,0,7,0,0,0,7,,,,,7,4/13/18 17:00,,Program implemented (opened) in November 2007.
OR,"Hillsboro, Beaverton/Washington County CoC",1008,OR-506,2018,9145,Luke-Dorf Inc.,46265,Housing TEAM Program,PSH,,419067,C,SMF,NA,111 NE LINCOLN ST,HILLSBORO,OR,97124,0,0,0,0,0,0,16,16,2,0,10,0,0,0,16,,,,,16,4/11/18 19:41,,
OR,"Hillsboro, Beaverton/Washington County CoC",1008,OR-506,2018,5925,Sequoia Mental Health Services Inc.,13419,Tri-Haven,PSH,,419067,C,SMF,NA,18715 SW BLANTON ST,ALOHA,OR,97007,0,0,0,0,0,,12,12,0,0,2,0,0,0,12,,,,,12,4/11/18 19:08,,
OR,"Hillsboro, Beaverton/Washington County CoC",1008,OR-506,2018,16472,The Salvation Army,38046,Veterans & Families Center,TH,,410108,C,SMF+HC,NA,14825 SW FARMINGTON RD,BEAVERTON,OR,97007,29,10,29,29,0,,57,57,57,0,,0,0,,86,,,,,86,4/11/18 17:43,,Grant Per Diem (GPD) Program for Veterans - Opened in July 2011
OR,"Hillsboro, Beaverton/Washington County CoC",1008,OR-506,2018,10281,Washington County Department of Housing Services,21969,Homeless To Work Transitional Housing Program,TH,,410636,C,SMF,NA,375 NE 18TH AVE,HILLSBORO,OR,97124,0,0,0,0,0,,10,10,0,0,,0,0,,10,,,,,10,4/25/18 18:32,,"Other site is 6924 SW Kim Place, Aloha 97078.  Opened May 2009"
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,254,ACCESS,114445,ACCESS - LIHRF RR (5190),RRH,,419029,C,HC,,3630 AVIATION WAY,MEDFORD,OR,97504,3,1,3,0,0,,0,0,0,0,,0,0,,3,,,,,3,7/12/18 10:03,3,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,254,ACCESS,83384,ESG  RR RA (5247),RRH,,419029,C,SMF+HC,NA,3630 AVIATION WAY,MEDFORD,OR,97504,9,2,9,0,0,,3,3,0,0,,0,0,,12,,,,,12,4/30/18 2:27,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,254,ACCESS,15200,Woodrow Pines (3643),PSH,,419029,C,SMF,NA,1090 WOODROW LN,MEDFORD,OR,97504,0,0,0,0,0,,4,4,0,0,0,0,0,,4,,,,,4,4/30/18 2:28,,4 units  -  4 beds - 1 building
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,30245,ACCESS - SSVF (VA),83376,"SSVF Rapid Re-Housing (4770, 4779, 4984, 4986)",RRH,,419029,C,SMF+HC,NA,3630 AVIATION WAY,MEDFORD,OR,97504,21,7,21,21,0,,51,51,51,0,,0,0,,72,,,,,72,4/30/18 2:28,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,42088,Columbia Care (6414),114492,ColumbiaCare Valor Pass (6415),ES,F,419029,N,SM,NA,1417 AVOCADO LN,Medford,OR,97504,0,0,0,0,0,,10,10,10,0,,0,0,,10,,,,,10,4/30/18 2:28,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,1850,Community Works,108060,Commuinity Works - TLP Walker (5510),TH,,419029,C,HC,NA,201 W MAIN ST,MEDFORD,OR,97501,7,4,7,0,0,,0,0,0,0,,0,0,,7,,,,,7,4/30/18 2:29,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,1850,Community Works,12928,Transitional Living Prog (3648),TH,,419029,C,YMF,NA,201 W MAIN ST,MEDFORD,OR,97501,8,3,8,0,8,,7,7,0,7,,0,0,,15,,,,,15,4/30/18 2:31,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,8822,Hearts with a Mission,5603,HWAM - ES - Medford Shelter (4415),ES,F,419029,C,YMF,NA,521 EDWARDS ST,MEDFORD,OR,97501,12,12,12,0,12,,0,0,0,0,,0,0,,12,0,0,,,12,4/30/18 17:02,Youth only shelter so not always full.,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,8822,Hearts with a Mission,114420,HWAM-RHY Basic Center ES Jackson County (6308),ES,F,419029,N,YMF,,521 EDWARDS ST,Medford,OR,97501,0,0,0,0,0,,0,0,0,0,,4,4,,4,,,,,4,4/30/18 2:32,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,8822,Hearts with a Mission,94868,Jackson County HWAM - Host Home (4849),TH,,419029,C,YMF,NA,521 EDWARDS ST,MEDFORD,OR,97501,0,0,0,0,0,,5,5,0,5,,0,0,,5,,,,,5,4/30/18 2:33,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,4275,Magdalene Home,17371,Magdalene Home - HIC (5272),TH,,419029,C,YF,NA,12 BLACK OAK DR,MEDFORD,OR,97504,0,0,0,0,0,,5,0,0,4,,0,0,,5,,,,,5,4/30/18 2:33,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,4415,Medford Gospel Mission,17495,Medford Gospel Mission - Men's - HIC (5261),ES,F,419029,C,SM,NA,125 W JACKSON ST,MEDFORD,OR,97501,0,0,0,,,,64,0,0,0,,0,0,,64,0,0,,,64,4/30/18 16:58,Dry Shelter and have to agree to faith based activities if staying longer than 5 days.,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,4415,Medford Gospel Mission,97609,Medford Gospel Mission - Upper Room - HIC (5262),TH,,419029,C,SM,NA,125 W JACKSON ST,MEDFORD,OR,97501,0,0,0,0,0,,21,0,0,0,,0,0,,21,,,,,21,4/30/18 2:34,Dry Shelter and have to agree to faith based activities and be invited to move from emergency shelter to TH program.,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,4415,Medford Gospel Mission,19890,Medford Gospel Mission - Women's - HIC (5263),ES,F,419029,C,SFHC,NA,524 N BARTLETT ST,MEDFORD,OR,97501,4,2,0,0,0,,18,0,0,0,,0,0,,22,0,0,,,22,4/30/18 2:35,Dry shelter and have to join faith based activities if staying longer than 5 days.,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,4415,Medford Gospel Mission,97610,Medford Gospel Mission Women - Esther House - HIC (5364)),TH,,419029,C,SF,NA,534 N BARTLETT ST,MEDFORD,OR,97501,2,1,0,0,0,,10,0,0,0,,0,0,,12,,,,,12,4/30/18 11:02,"Dry Shelter and have to agree to faith based activities and be invited to move from emergency shelter to TH program.  Also, Medford Gospel Mission Women's shelter went complete management team starting 2 January.  This all contributed to 50% utilization rate on night of January 22.",
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,32610,OHRA,95198,OHRA Ashland Winter Shelter System - HIC (5270),ES,O,419029,C,SMF,NA,570 CLOVER LN,ASHLAND,OR,97520,0,0,0,0,0,,0,0,0,0,,0,0,,0,43,0,11/26/17 0:00,3/5/18 0:00,43,4/30/18 2:38,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,5320,OnTrack Inc,95346,OnTrack - SKY VISTA (SHP)  (4285),PSH,,419029,C,SMF+HC,NA,1900 HOMEVIEW DR,MEDFORD,OR,97501,24,8,24,0,0,0,1,1,0,0,0,0,0,0,25,,,,,25,7/12/18 10:04,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,11624,Rogue Retreat,106468,Kelly Shelter,ES,O,419029,N,SMF,NA,607 W MAIN ST,MEDFORD,OR,97501,,,,,,,,,,,,,,,0,50,50,1/1/18 0:00,3/31/18 0:00,50,4/30/18 2:57,,Seasonal emergency shelter this is first year opening
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,11624,Rogue Retreat,21916,RR - Grape St. Retreat (3638),PSH,,419029,C,HC,NA,529 N RIVERSIDE AVE,MEDFORD,OR,97501,22,8,22,0,0,22,0,0,0,0,0,0,0,,22,,,,,22,4/30/18 2:57,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,11624,Rogue Retreat,22097,RR - Riverside Retreat (3637),PSH,,419029,C,SMF,NA,525 N RIVERSIDE AVE,MEDFORD,OR,97501,0,0,0,0,0,,11,11,0,0,11,0,0,,11,,,,,11,4/30/18 2:58,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,11624,Rogue Retreat,108311,RR - Starting Strong (5242),PSH,,419029,N,SFHC,NA,529 N Riverside,Medford,OR,97501,4,2,4,0,0,4,0,0,0,0,0,0,0,0,4,,,,,4,7/12/18 10:05,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,23337,Rogue Retreat & HAJC,114549,Harold's Haven (6182),TH,,419029,N,SM,,32 Washington St,Medford,OR,97501,0,0,0,0,0,,5,5,0,0,,0,0,,5,,,,,5,4/30/18 1:48,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,23337,Rogue Retreat & HAJC,97502,Heather's Haven (5241),TH,,419029,C,SF,NA,726 W 4TH ST,MEDFORD,OR,97501,0,0,0,0,0,,5,5,0,0,,0,0,,5,,,,,5,4/30/18 1:47,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,23337,Rogue Retreat & HAJC,106542,Heather's Haven - Franquette (5815),TH,,419029,N,SF,NA,608 FRANQUETTE ST,MEDFORD,OR,97501,,,,,,,5,5,0,0,,,,,5,,,,,5,4/28/18 9:28,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,23337,Rogue Retreat & HAJC,55114,"RR - 11th St Retreat-700 & 800 (3639, 	5156)",PSH,,419029,C,HC,NA,529 N RIVERSIDE AVE,MEDFORD,OR,97501,33,11,33,0,0,33,0,0,0,0,,0,0,,33,,,,,33,4/30/18 2:59,Some units have only one parent and one child.,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,23337,Rogue Retreat & HAJC,55116,RR - Crater Lake Retreat (3640),PSH,,419029,C,HC,NA,2166 CRATER LAKE AVE,MEDFORD,OR,97504,12,4,12,0,0,12,0,0,0,0,,0,0,,12,,,,,12,4/30/18 3:00,"Only 12 beds, but family units, and some children placed on mats so PIT count is larger than bed count.",
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,23337,Rogue Retreat & HAJC,55118,RR - Manzanita Retreat (3641),PSH,,419029,C,SMF,NA,529 N RIVERSIDE AVE,MEDFORD,OR,97501,0,0,0,0,0,,8,8,0,0,8,0,0,,8,,,,,8,4/30/18 3:00,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,16243,Rogue Valley Veterans & Community Outreach (RVVCO),29006,(VA-GPD): Beekman House (3642),TH,,419029,C,SM,NA,601 N GRAPE ST,MEDFORD,OR,97501,0,0,0,0,0,,13,13,13,0,,0,0,,13,,,,,13,4/30/18 3:00,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,16243,Rogue Valley Veterans & Community Outreach (RVVCO),5297,(VA-GPD): Haven House (3642),TH,,419029,C,SM,NA,601 N GRAPE ST,MEDFORD,OR,97501,0,0,0,,,,14,14,14,0,,0,0,,14,,,,,14,4/30/18 3:01,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,16243,Rogue Valley Veterans & Community Outreach (RVVCO),55138,(VA-GPD): Oakdale House (3642),TH,,419029,C,SM,NA,601 N GRAPE ST,MEDFORD,OR,97501,0,0,0,,,,13,13,13,0,,0,0,,13,,,,,13,4/30/18 3:02,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,5782,RVCOG,5682,RVCOG - Home At Last (3630),PSH,,419029,C,SMF+HC,NA,155 N 1ST ST,CENTRAL POINT,OR,97502,3,3,3,0,0,3,11,11,0,0,11,0,0,,14,,,,,14,4/30/18 3:02,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,16244,Salvation Army (SA),5901,"Hope House (3696, 3697, 3698, 3699)",TH,,419029,C,SMF+HC,NA,1065 CREWS RD,MEDFORD,OR,97501,30,11,30,0,0,,27,27,9,0,,0,0,,57,,,,,57,4/30/18 3:03,,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,9972,St. Vincent de Paul,11593,St. Vincent De Paul - St. Anthony's - HIC (5271),ES,F,419029,C,HC,NA,2424 N PACIFIC HWY,MEDFORD,OR,97501,28,7,0,0,0,,0,0,0,0,,0,0,,28,0,0,,,28,4/30/18 3:04,All family units only and on night of the count one unit was empty.,
OR,"Medford, Ashland/Jackson County CoC",1384,OR-502,2018,23341,Veterans Affairs (VA) & HAJC,55134,(VA-VASH): Vouchers with HAJC,PSH,,419029,C,SMF+HC,NA,8495 CRATER LAKE HWY,WHITE CITY,OR,97503,156,156,0,156,0,0,157,0,157,0,0,0,0,,313,,,,,313,4/30/18 3:04,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30815,Bay Area First Step (3617) [ROCC],58969,BAFS - COOLS - PSH - SHELTERPOINT (4227) [ROCC],PSH,,419011,C,SMF,NA,1942 Sheridan Ave.,North Bend,OR,97459,0,0,0,0,0,,7,7,0,0,7,0,0,0,7,,,,,7,3/19/18 17:44,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30815,Bay Area First Step (3617) [ROCC],102896,BAFS- RRH (5714) [ROCC],RRH,,419011,C,SMF+HC,NA,1942 SHERIDAN AVE,NORTH BEND,OR,97459,9,3,9,0,0,,7,7,0,0,,2,2,,18,,,,,18,3/21/18 12:41,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,41532,Blanchet House of Hospitality - SP(3939),110033,Blanchet House - Farm - SHELTERPOINT (4229) [ROCC],TH,,419071,N,SM,NA,11750 NE FINN HILL LOOP,CARLTON,OR,97111,0,0,0,0,0,,21,21,0,0,,0,0,,21,,,,,21,4/3/18 16:59,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,32421,Blue Mountain Action Council (3974),94453,BMAC - SSVF (Oregon) - Rapid Re-Housing RRH (3976) [ROCC],RRH,,419021,C,SMF+HC,NA,,,OR,97823,7,1,7,7,0,,4,4,4,0,,0,0,,11,,,,,11,7/26/18 9:44,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30857,Clatsop Community Action (3368) [ROCC],110217,CCA - CLA - OHCS\ESGP 2017-RRH-RA (6199) [ROCC],RRH,,419007,N,SMF+HC,NA,2 NIMITZ DR,ASTORIA,OR,97103,5,1,5,0,0,,0,0,0,0,,0,0,,5,,,,,5,3/28/18 11:05,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30857,Clatsop Community Action (3368) [ROCC],109962,CCA - Cla -SHAP ES Phase II - SHELTERPOINT  (6357)[ROCC],ES,F,419007,N,SMF+HC,NA,76 W BOND ST,ASTORIA,OR,97103,2,1,2,0,0,,1,1,0,0,,0,0,,3,0,0,,,3,3/12/18 18:07,This provider did not serve clients on the Point-in-Time night.,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30857,Clatsop Community Action (3368) [ROCC],86619,CCA - Cla- RRH Rapid Re-Housing - SHELTERPOINT (3369) [ROCC],RRH,,419007,C,HC,NA,2561 Mill Creek Lane,Seaside,OR,97138,9,2,9,0,0,,0,0,0,0,,0,0,,9,,,,,9,3/21/18 13:06,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30857,Clatsop Community Action (3368) [ROCC],55863,CCA - Clat-PSH Leasing - SHELTERPOINT (3869) [ROCC],PSH,,419007,C,SMF+HC,NA,2561 Mill Creek Lane,Seaside,OR,97138,6,3,6,0,0,6,3,3,1,0,2,0,0,,9,,,,,9,3/19/18 17:53,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30857,Clatsop Community Action (3368) [ROCC],90800,CCA - SSVF RRH (4760) [ROCC],RRH,,419007,C,SMF+HC,NA,2 Nimitz Drive,Astoria,OR,97103,2,1,2,2,0,,6,6,6,0,,0,0,,8,,,,,8,7/26/18 9:34,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30857,Clatsop Community Action (3368) [ROCC],109960,CCA -Cla-HIC -Restoration House - ES (3710) [ROCC],ES,F,419007,C,SMF,NA,2 NIMITZ DR,ASTORIA,OR,97103,0,0,0,0,0,,15,0,0,0,,0,0,,15,0,0,,,15,3/29/18 19:24,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30857,Clatsop Community Action (3368) [ROCC],26586,CCA -Cla-Hilltop - TH SHELTERPOINT (3438) [ROCC],TH,,419007,C,HC,NA,2 Nimitz Drive,Astoria,OR,97103,2,1,2,0,0,,0,0,0,0,,0,0,,2,,,,,2,3/14/18 14:27,This agency did not turn in PIT Forms this year to Clatsop Community Action.,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30857,Clatsop Community Action (3368) [ROCC],111105,CCA- City of Seaside-RRH 9600) [ROCC],RRH,,419007,C,SMF+HC,NA,2 NIMITZ DR,ASTORIA,OR,97103,4,2,4,0,0,,6,6,0,0,,0,0,,10,,,,,10,4/6/18 12:18,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30857,Clatsop Community Action (3368) [ROCC],111108,CCA- City Of Warrenton-RRH (5996) [ROCC],RRH,,419007,C,SMF+HC,NA,2 NIMITZ DR,ASTORIA,OR,97103,2,1,2,0,0,,2,2,0,0,,0,0,,4,,,,,4,4/6/18 12:21,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30857,Clatsop Community Action (3368) [ROCC],111103,CCA-City Of Astoria-RRH (5992) [ROCC],RRH,,419007,C,SMF+HC,NA,2 NIMITZ DR,Astoria,OR,97103,29,9,29,0,0,,34,34,0,0,,0,0,,63,,,,,63,4/17/18 18:02,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30857,Clatsop Community Action (3368) [ROCC],111104,CCA-City Of Cannon Beach-RRH (5993) [ROCC],RRH,,419007,C,SMF+HC,NA,2 NIMITZ DR,ASTORIA,OR,97103,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,0,4/6/18 12:24,No clients were served on the PIT night.,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30857,Clatsop Community Action (3368) [ROCC],110435,CCA-CLA-(SPRF) Rapid Re-Housing  (6202) [ROCC],RRH,,419007,N,SMF+HC,NA,2 NIMITZ DR,ASTORIA,OR,97013,39,8,39,0,0,,2,2,0,0,,0,0,,41,,,,,41,3/28/18 11:11,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30857,Clatsop Community Action (3368) [ROCC],109958,CCA-Cla-HIC-Astoria Rescue Mission-Men ES (4075) [ROCC],ES,F,419007,C,SM,NA,62 W BOND ST,ASTORIA,OR,97103,0,0,0,0,0,,23,0,0,0,,0,0,,23,0,0,,,23,3/12/18 17:40,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30857,Clatsop Community Action (3368) [ROCC],109961,CCA-Cla-HIC-Astoria Rescue Mission-Women - ES (4074)[ROCC],ES,F,419007,C,SF,NA,70 W BOND ST,ASTORIA,OR,97103,10,5,0,0,0,,2,0,0,0,,0,0,,12,0,0,,,12,3/29/18 19:28,This agency did not turn in PIT Forms this year to Clatsop Community Action.,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30857,Clatsop Community Action (3368) [ROCC],85882,CCA-Cla-TOGETHER WE HOUSE PSH - SHELTERPOINT (4610) [ROCC],PSH,,419007,C,SMF+HC,NA,2561 Mill Creek Lane,Seaside,OR,97138,4,1,4,0,0,0,9,9,0,0,9,0,0,0,13,,,,,13,3/19/18 17:50,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,30857,Clatsop Community Action (3368) [ROCC],110310,CCA-CRD RRH (5775) [ROCC],RRH,,419007,N,SMF+HC,NA,2 NIMITZ DR,ASTORIA,OR,97103,4,1,4,0,0,,11,11,0,0,,0,0,,15,,,,,15,3/28/18 18:39,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,41565,Columbia Cascade Housing Corporation (3914) [ROCC],110170,CCHC - Celilo Gardens - HPLUS - PSH - SHELTERPOINT (3915) [ROCC],OPH,,419065,C,SMF,NA,312 COURT ST STE 419,THE DALLES,OR,97058,0,0,0,0,0,,3,3,0,0,,0,0,,3,,,,,3,3/27/18 17:51,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,31246,Community Action Program of East Central Oregon (3457) [ROCC],86687,CAPECO - Continuum of Care RRH - SHELTERPOINT (3462) [ROCC],RRH,,419021,C,HC,NA,721 SE Third St. Suite D,Pendleton,OR,97801,32,11,32,0,0,,10,10,0,0,,0,0,,42,,,,,42,3/23/18 19:33,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,31246,Community Action Program of East Central Oregon (3457) [ROCC],85373,CAPECO - UC - Hermiston Warming Station  - ES -SHELTERPOINT (4831) [ROCC],ES,F,419059,C,SMF+HC,NA,224 E Main Street,Hermiston,OR,97801,0,0,0,0,0,,0,0,0,0,,0,0,,0,10,10,10/1/17 0:00,3/31/18 0:00,10,3/9/18 19:20,Hermiston Warming Center relies on volunteers and no forms were turned in this year.,
OR,Oregon Balance of State CoC,1063,OR-505,2018,31246,Community Action Program of East Central Oregon (3457) [ROCC],90841,CAPECO - UC- Pendleton Warming Stations ES - SHELTERPOINT (3468) [ROCC],ES,F,419059,C,SMF+HC,NA,721 SE 3RD ST STE D,PENDLETON,OR,97801,0,0,0,0,0,,0,0,0,0,,0,0,,0,22,22,10/1/17 0:00,3/30/18 0:00,22,7/26/18 9:46,Pendleton Warming Stations realize on volunteers and no forms were turned in this year.,Warmer temperatures on the PIT Night.
OR,Oregon Balance of State CoC,1063,OR-505,2018,31246,Community Action Program of East Central Oregon (3457) [ROCC],56760,CAPECO-Continuum of Care-PSH-SHELTERPOINT (4209) [ROCC],PSH,,419059,C,SMF+HC,NA,721 SE Third St. Suite D,Pendelton,OR,97801,6,2,6,0,0,0,1,1,0,0,0,0,0,0,7,,,,,7,7/26/18 9:38,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,31246,Community Action Program of East Central Oregon (3457) [ROCC],110215,CAPECO-OHCS-ESGP 2015-RRH-RA (5344) [ROCC],RRH,,419021,C,SMF+HC,NA,721 SE 3RD ST STE D,PENDLETON,OR,97801,24,7,24,0,0,,1,1,0,0,,0,0,,25,,,,,25,3/21/18 18:40,,
OR,Oregon Balance of State CoC,1063,OR-505,2018,31246,Community Action Program of East Central Oregon (3457) [ROCC],110443,CAPECO-OHCS-Whe-SHAP New 16 - RRH (5615) {ROCC],RRH,,419069,C,SMF+HC,NA,721 SE 3RD ST STE D,PENDLETON,OR,97801,0,0,0,0,0,,1,0,0,0,,0,0,,1,,,,,1,3/28/18 11:35,,
